CS profile #,Date,Depth [m],Depth from DP [m],Dist from end [m],Dist from DP [m],Corr dist [m],Velocity [m/s],Discharge [m3/s],,d_t = w_t/R
1,6/17/2016 13:14,0,0.17,0,-0.8,-0.8,0,0,,0.045
1,6/17/2016 13:14,0.045,0.125,0.2,-0.6,-0.6,0.0305,0.0004,,0.045
1,6/17/2016 13:14,0.09,0.08,0.4,-0.4,-0.4,0.0388,0.0007,,0.065
1,6/17/2016 13:14,0.155,0.015,0.6,-0.2,-0.2,0.0485,0.0015,,0.015
1,6/17/2016 13:14,0.17,0,0.8,0,0,0.1071,0.0036,,-0.045
1,6/17/2016 13:14,0.125,0.045,1,0.2,0.2,0.0827,0.0021,,0.005
1,6/17/2016 13:14,0.13,0.04,1.2,0.4,0.4,0.0632,0.0016,,-0.03
1,6/17/2016 13:14,0.1,0.07,1.4,0.6,0.6,0.0632,0.0013,,-0.015
1,6/17/2016 13:14,0.085,0.085,1.6,0.8,0.8,0.0632,0.0011,,0.025
1,6/17/2016 13:14,0.11,0.06,1.8,1,1,0.0388,0.0009,,-0.03
1,6/17/2016 13:14,0.08,0.09,2,1.2,1.2,0.0583,0.0009,,-0.07
1,6/17/2016 13:14,0.01,0.16,2.2,1.4,1.4,0.0117,0,,-0.01
1,6/17/2016 13:14,0,0.17,2.23,1.43,1.43,0,0,,0
2,6/17/2016 16:45,0,0.21,0,-0.78,-0.78,0,0,,0.085
2,6/17/2016 16:45,0.085,0.125,0.18,-0.6,-0.6,0.0339,0.0008,,0.05
2,6/17/2016 16:45,0.135,0.075,0.38,-0.4,-0.4,0.0973,0.0026,,0.045
2,6/17/2016 16:45,0.18,0.03,0.58,-0.2,-0.2,0.0973,0.0035,,0.03
2,6/17/2016 16:45,0.21,0,0.78,0,0,0.1168,0.0049,,-0.065
2,6/17/2016 16:45,0.145,0.065,0.98,0.2,0.2,0.0827,0.0024,,-0.01
2,6/17/2016 16:45,0.135,0.075,1.18,0.4,0.4,0.0729,0.002,,-0.005
2,6/17/2016 16:45,0.13,0.08,1.38,0.6,0.6,0.0729,0.0019,,-0.03
2,6/17/2016 16:45,0.1,0.11,1.58,0.8,0.8,0.1071,0.0021,,0.055
2,6/17/2016 16:45,0.155,0.055,1.78,1,1,0.1071,0.0033,,-0.05
2,6/17/2016 16:45,0.105,0.105,1.98,1.2,1.2,0.0681,0.0021,,-0.105
2,6/17/2016 16:45,0,0.21,2.18,1.4,1.4,0,0,,0
3,6/19/2016 14:10,0,0.62,0,-1.3,-1.6,0,0,,0.35
3,6/19/2016 14:10,0.35,0.27,0.3,-1,-1.4,0.0058,0.0008,,0.07
3,6/19/2016 14:10,0.42,0.2,0.5,-0.8,-1.2,0.2613,0.022,,0.08
3,6/19/2016 14:10,0.5,0.12,0.7,-0.6,-1,0.4711,0.0471,,0.05
3,6/19/2016 14:10,0.55,0.07,0.9,-0.4,-0.8,0.4751,0.0523,,0.07
3,6/19/2016 14:10,0.62,0,1.1,-0.2,-0.6,0.5302,0.0657,,0
3,6/19/2016 14:10,0.62,0,1.3,0,-0.4,0.4956,0.0614,,-0.05
3,6/19/2016 14:10,0.57,0.05,1.5,0.2,-0.2,0.4382,0.05,,-0.01
3,6/19/2016 14:10,0.56,0.06,1.7,0.4,0,0.4609,0.0516,,-0.01
3,6/19/2016 14:10,0.55,0.07,1.9,0.6,0.2,0.4302,0.0473,,0
3,6/19/2016 14:10,0.55,0.07,2.1,0.8,0.4,0.4302,0.0473,,0
3,6/19/2016 14:10,0.55,0.07,2.3,1,0.6,0.384,0.0422,,-0.06
3,6/19/2016 14:10,0.49,0.13,2.5,1.2,0.8,0.3271,0.0321,,-0.13
3,6/19/2016 14:10,0.36,0.26,2.7,1.4,1,0.2351,0.0169,,-0.16
3,6/19/2016 14:10,0.2,0.42,2.9,1.6,1.2,0.052,0.0021,,-0.11
3,6/19/2016 14:10,0.09,0.53,3.1,1.8,1.4,0.0162,0.0004,,-0.09
3,6/19/2016 14:10,0,0.62,3.25,1.95,1.6,0,0,,0
4,6/19/2016 16:40,0,0.605,0,-1.14,-1.54,0,0,,0.34
