Date,Total Pressure [m],Air Pressure [m],Stage [m],Discharge [m3/s],temperature [degrees C]
6/13/2016 0:00,9.816,9.609774508,0.206225492,0.083531491,-0.1
6/13/2016 0:05,9.81,9.609715016,0.200284984,0.077784801,-0.1
6/13/2016 0:10,9.804,9.609655524,0.194344476,0.07227817,-0.1
6/13/2016 0:15,9.8,9.609596032,0.190403968,0.068756358,-0.1
6/13/2016 0:20,9.793,9.60953654,0.18346346,0.062803954,-0.1
6/13/2016 0:25,9.788,9.609477048,0.178522952,0.058759233,-0.1
6/13/2016 0:30,9.78,9.609417556,0.170582444,0.052588411,-0.1
6/13/2016 0:35,9.774,9.609358064,0.164641936,0.048233698,-0.1
6/13/2016 0:40,9.768,9.609298572,0.158701428,0.04409927,-0.1
6/13/2016 0:45,9.762,9.60923908,0.15276092,0.040181606,-0.1
6/13/2016 0:50,9.756,9.609179588,0.146820412,0.036477107,-0.1
6/13/2016 0:55,9.752,9.609120096,0.142879904,0.034135607,-0.1
6/13/2016 1:00,9.748,9.609060604,0.138939396,0.031885191,-0.1
6/13/2016 1:05,9.744,9.609222059,0.134777941,0.029606252,-0.1
6/13/2016 1:10,9.741,9.609383514,0.131616486,0.0279412,-0.1
6/13/2016 1:15,9.736,9.609544969,0.126455031,0.025344071,-0.1
6/13/2016 1:20,9.732,9.609706424,0.122293576,0.0233581,-0.1
6/13/2016 1:25,9.727,9.609867879,0.117132121,0.021026563,-0.1
6/13/2016 1:30,9.723,9.610029335,0.112970666,0.019251169,-0.1
6/13/2016 1:35,9.719,9.61019079,0.10880921,0.017567415,-0.1
6/13/2016 1:40,9.714,9.610352245,0.103647755,0.015604123,-0.1
6/13/2016 1:45,9.71,9.6105137,0.0994863,0.014120189,-0.1
6/13/2016 1:50,9.703,9.610675155,0.092324845,0.011768494,-0.1
6/13/2016 1:55,9.7,9.61083661,0.08916339,0.010809857,-0.1
6/13/2016 2:00,9.696,9.610998065,0.085001935,0.009620554,-0.1
6/13/2016 2:05,9.691,9.611006571,0.079993429,0.008296277,-0.1
6/13/2016 2:10,9.689,9.611015077,0.077984923,0.007797442,-0.1
6/13/2016 2:15,9.686,9.611023583,0.074976417,0.007084126,-0.1
6/13/2016 2:20,9.682,9.61103209,0.07096791,0.006195763,-0.1
6/13/2016 2:25,9.679,9.611040596,0.067959404,0.005574665,-0.1
6/13/2016 2:30,9.677,9.611049102,0.065950898,0.005181394,-0.1
6/13/2016 2:35,9.675,9.611057608,0.063942392,0.004804982,-0.1
6/13/2016 2:40,9.674,9.611066114,0.062933886,0.004622265,-0.1
6/13/2016 2:45,9.67,9.611074621,0.058925379,0.0039369,-0.1
6/13/2016 2:50,9.669,9.611083127,0.057916873,0.003774605,-0.1
6/13/2016 2:55,9.669,9.611091633,0.057908367,0.003773253,-0.1
6/13/2016 3:00,9.667,9.611100139,0.055899861,0.00346203,-0.1
