h_x	Q	ab	ab_l_err	ab_h
1E-06	1E-03	-0.000194	1.29E-06	1.29E-06
1E-06	1E-04	-0.000388	2.08E-06	2.09E-06
1E-06	1E-05	-0.000659	2.30E-07	3.63E-07
1E-06	1E-06	-0.001062	1.28E-06	1.77E-06
1E-06	1E-07	-0.001689	3.60E-06	4.38E-05
1E-06	1E-08	-0.002620	8.55E-06	3.76E-05
1E-06	1E-09	-0.002560	8.10E-06	3.89E-05
1E-05	1E-06	-0.003959	2.06E-05	2.65E-05
1E-05	1E-05	-0.002578	4.95E-06	5.50E-06
1E-05	1E-04	-0.001600	4.96E-06	4.65E-06
1E-05	1E-03	-0.000744	6.11E-05	5.94E-06
1E-05	1E-02	-0.000394	8.88E-06	9.04E-06
1E-05	1E-07	-0.006006	6.95E-06	4.14E-05
1E-04	1E-05	-0.009150	4.99E-05	4.71E-05
1E-04	1E-04	-0.006040	1.56E-05	3.23E-05
1E-04	1E-03	-0.004045	1.51E-05	1.61E-05
1E-04	1E-02	-0.002592	8.00E-05	8.53E-05
1E-04	1.0000E-01	-0.001813	2.96E-05	5.81E-05
